Feature,Importance
SlogP,0.3901835154999797
smr_VSA1,0.29261247891953057
slogp_VSA6,0.10629978761118102
peoe_VSA9,0.09947644521798636
MQN27,0.07065261992017208
TPSA,0.06761358465337847
MQN8,0.06424989312433846
SMR,0.051889742483215685
MQN31,0.05070135570082759
peoe_VSA6,0.04706924568895516
layered_1445,0.04676813205754362
ExactMW,0.04456897212124855
NumAmideBonds,0.0435988851181487
FractionCSP3,0.04098298739829084
slogp_VSA2,0.03542700905946415
layered_883,0.03519743456123754
HallKierAlpha,0.032715446177819914
layered_1789,0.03267609174062089
layered_993,0.02984397353104485
layered_1944,0.029759997473493158
layered_602,0.029367145969430145
layered_1953,0.028702218646017665
layered_1350,0.027738227558962863
AMW,0.02719569872194981
MQN1,0.0266531035128427
layered_1391,0.026476153918289207
smr_VSA10,0.02614758879663064
kappa3,0.024861493708953533
kappa1,0.02477752394918744
layered_400,0.023937002838894966
Chi1n,0.0236216865967213
slogp_VSA4,0.022012527423488137
Chi0v,0.020825750584556615
layered_769,0.018809004358946394
slogp_VSA3,0.01870284270392545
layered_1967,0.018495418106288485
layered_2024,0.01745140674459598
layered_1143,0.017386980945284767
layered_1105,0.017106126647129107
kappa2,0.016812074033751345
Chi3v,0.015998850156682988
Chi4n,0.015753539589927257
layered_1592,0.014608273430623878
smr_VSA6,0.01437194912718048
peoe_VSA8,0.01420871562493088
layered_487,0.013998360078335154
layered_1227,0.013921962104715312
layered_1355,0.013582931281255114
layered_351,0.013326044258381709
Chi2v,0.013294041425875439
MQN10,0.013128955244080781
layered_729,0.013121494249794084
NumHeteroAtoms,0.012169675003288631
NumRotatableBonds,0.01170234016418708
MQN25,0.011435494941964124
layered_209,0.01143062711932906
peoe_VSA12,0.01126405364368458
layered_1133,0.0110110933829044
layered_798,0.010989851662353544
layered_1815,0.01073049629299799
layered_424,0.010710270244296728
slogp_VSA5,0.01022489276538939
MQN32,0.010219475254934421
Chi2n,0.01015506352524956
Chi3n,0.00980633514008564
